Card,id,elixirCost,HP,DPS,Speed,Attack speed
Knight,26000000,3.0,0,0,0,0
Archers,26000001,3.0,0,0,0,0
Goblins,26000002,2.0,0,0,0,0
Giant,26000003,5.0,0,0,0,0
P.E.K.K.A,26000004,7.0,0,0,0,0
Minions,26000005,3.0,0,0,0,0
Balloon,26000006,5.0,0,0,0,0
Witch,26000007,5.0,0,0,0,0
Barbarians,26000008,5.0,0,0,0,0
Golem,26000009,8.0,0,0,0,0
Skeletons,26000010,1.0,0,0,0,0
Valkyrie,26000011,4.0,0,0,0,0
Skeleton Army,26000012,3.0,0,0,0,0
Bomber,26000013,2.0,0,0,0,0
Musketeer,26000014,4.0,0,0,0,0
Baby Dragon,26000015,4.0,0,0,0,0
Prince,26000016,5.0,0,0,0,0
Wizard,26000017,5.0,0,0,0,0
Mini P.E.K.K.A,26000018,4.0,0,0,0,0
Spear Goblins,26000019,2.0,0,0,0,0
Giant Skeleton,26000020,6.0,0,0,0,0
Hog Rider,26000021,4.0,0,0,0,0
Minion Horde,26000022,5.0,0,0,0,0
Ice Wizard,26000023,3.0,0,0,0,0
Royal Giant,26000024,6.0,0,0,0,0
Guards,26000025,3.0,0,0,0,0
Princess,26000026,3.0,0,0,0,0
Dark Prince,26000027,4.0,0,0,0,0
Three Musketeers,26000028,9.0,0,0,0,0
Lava Hound,26000029,7.0,0,0,0,0
Ice Spirit,26000030,1.0,0,0,0,0
Fire Spirit,26000031,1.0,0,0,0,0
Miner,26000032,3.0,0,0,0,0
Sparky,26000033,6.0,0,0,0,0
Bowler,26000034,5.0,0,0,0,0
Lumberjack,26000035,4.0,0,0,0,0
Battle Ram,26000036,4.0,0,0,0,0
Inferno Dragon,26000037,4.0,0,0,0,0
Ice Golem,26000038,2.0,0,0,0,0
Mega Minion,26000039,3.0,0,0,0,0
Dart Goblin,26000040,3.0,0,0,0,0
Goblin Gang,26000041,3.0,0,0,0,0
Electro Wizard,26000042,4.0,0,0,0,0
Elite Barbarians,26000043,6.0,0,0,0,0
Hunter,26000044,4.0,0,0,0,0
Executioner,26000045,5.0,0,0,0,0
Bandit,26000046,3.0,0,0,0,0
Royal Recruits,26000047,7.0,0,0,0,0
Night Witch,26000048,4.0,0,0,0,0
Bats,26000049,2.0,0,0,0,0
Royal Ghost,26000050,3.0,0,0,0,0
Ram Rider,26000051,5.0,0,0,0,0
Zappies,26000052,4.0,0,0,0,0
Rascals,26000053,5.0,0,0,0,0
Cannon Cart,26000054,5.0,0,0,0,0
Mega Knight,26000055,7.0,0,0,0,0
Skeleton Barrel,26000056,3.0,0,0,0,0
Flying Machine,26000057,4.0,0,0,0,0
Wall Breakers,26000058,2.0,0,0,0,0
Royal Hogs,26000059,5.0,0,0,0,0
Goblin Giant,26000060,6.0,0,0,0,0
Fisherman,26000061,3.0,0,0,0,0
Magic Archer,26000062,4.0,0,0,0,0
Electro Dragon,26000063,5.0,0,0,0,0
Firecracker,26000064,3.0,0,0,0,0
Mighty Miner,26000065,4.0,0,0,0,0
Elixir Golem,26000067,3.0,0,0,0,0
Battle Healer,26000068,4.0,0,0,0,0
Skeleton King,26000069,4.0,0,0,0,0
Archer Queen,26000072,5.0,0,0,0,0
Golden Knight,26000074,4.0,0,0,0,0
Monk,26000077,5.0,0,0,0,0
Skeleton Dragons,26000080,4.0,0,0,0,0
Mother Witch,26000083,4.0,0,0,0,0
Electro Spirit,26000084,1.0,0,0,0,0
Electro Giant,26000085,7.0,0,0,0,0
Phoenix,26000087,4.0,0,0,0,0
Little Prince,26000093,3.0,0,0,0,0
Goblin Demolisher,26000095,4.0,0,0,0,0
Goblin Machine,26000096,5.0,0,0,0,0
Suspicious Bush,26000097,2.0,0,0,0,0
Goblinstein,26000099,5.0,0,0,0,0
Rune Giant,26000101,4.0,0,0,0,0
Berserker,26000102,2.0,0,0,0,0
Boss Bandit,26000103,6.0,0,0,0,0
Cannon,27000000,3.0,0,0,0,0
Goblin Hut,27000001,5.0,0,0,0,0
Mortar,27000002,4.0,0,0,0,0
Inferno Tower,27000003,5.0,0,0,0,0
Bomb Tower,27000004,4.0,0,0,0,0
Barbarian Hut,27000005,6.0,0,0,0,0
Tesla,27000006,4.0,0,0,0,0
Elixir Collector,27000007,6.0,0,0,0,0
X-Bow,27000008,6.0,0,0,0,0
Tombstone,27000009,3.0,0,0,0,0
Furnace,27000010,4.0,0,0,0,0
Goblin Cage,27000012,4.0,0,0,0,0
Goblin Drill,27000013,4.0,0,0,0,0
Fireball,28000000,4.0,0,0,0,0
Arrows,28000001,3.0,0,0,0,0
Rage,28000002,2.0,0,0,0,0
Rocket,28000003,6.0,0,0,0,0
Goblin Barrel,28000004,3.0,0,0,0,0
Freeze,28000005,4.0,0,0,0,0
Mirror,28000006,,0,0,0,0
Lightning,28000007,6.0,0,0,0,0
Zap,28000008,2.0,0,0,0,0
Poison,28000009,4.0,0,0,0,0
Graveyard,28000010,5.0,0,0,0,0
The Log,28000011,2.0,0,0,0,0
Tornado,28000012,3.0,0,0,0,0
Clone,28000013,3.0,0,0,0,0
Earthquake,28000014,3.0,0,0,0,0
Barbarian Barrel,28000015,2.0,0,0,0,0
Heal Spirit,28000016,1.0,0,0,0,0
Giant Snowball,28000017,2.0,0,0,0,0
Royal Delivery,28000018,3.0,0,0,0,0
Void,28000023,3.0,0,0,0,0
Goblin Curse,28000024,2.0,0,0,0,0
